,doc_id,doc_x,doc_y,genre
9789044618952,9789044618952,12.122068,5.112647,"Dutch literary novel, novella"
9789402533996,9789402533996,9.119556,12.044077,romance
9789461990549,9789461990549,10.172202,13.030464,romance
9789025854294,9789025854294,14.002003,6.107615,unknown
9789402537390,9789402537390,6.8420253,13.420928,romance
9789402516906,9789402516906,7.923654,15.4380665,romance
9789402750324,9789402750324,9.552769,10.255418,Young adult fiction
9789038899046,9789038899046,10.486021,7.8355565,"Dutch literary novel, novella"
9789461996541,9789461996541,11.455053,9.032251,Young adult fiction
9789044636086,9789044636086,8.904572,6.410286,"translated literary novel, novella"
9789021672335,9789021672335,11.867624,5.8764563,unknown
9789461996411,9789461996411,6.5792356,14.071398,romance
9789460415159,9789460415159,13.1079445,3.482072,suspense general
9789402514308,9789402514308,8.413976,15.1760235,romance
9789029581561,9789029581561,11.709089,4.908875,"Dutch literary novel, novella"
9789044624779,9789044624779,9.019802,5.5041366,"translated literary novel, novella"
9789048727445,9789048727445,14.483567,6.441255,unknown
9789048725601,9789048725601,14.768652,6.301291,unknown
9789402531398,9789402531398,8.37729,15.640032,romance
9789044618945,9789044618945,12.191136,5.18276,"Dutch literary novel, novella"
9789044618815,9789044618815,12.225319,5.0219173,"Dutch literary novel, novella"
9789038899695,9789038899695,11.555593,5.83906,"Dutch literary novel, novella"
9789025859541,9789025859541,14.552956,6.5687823,unknown
9789402510003,9789402510003,8.471342,15.559431,romance
9789402754865,9789402754865,8.716654,13.291644,romance
9789461704627,9789461704627,7.8621364,14.283338,romance
9789025867034,9789025867034,8.467301,15.216236,unknown
9789044971651,9789044971651,10.436148,9.546179,literary thriller
9789044629668,9789044629668,2.2429156,7.680742,"Dutch literary novel, novella"
9789402538601,9789402538601,8.908627,13.183197,romance
9789402750263,9789402750263,14.46039,8.047749,Young adult fiction
9789461992994,9789461992994,10.667958,12.15536,suspense pocket
9789048725182,9789048725182,14.86979,6.6857624,unknown
9789403179100,9789403179100,9.151155,9.240105,literary thriller
9789402543469,9789402543469,9.267035,12.150187,romance
9789460411496,9789460411496,12.853276,3.5463834,suspense general
9789402521634,9789402521634,7.2315297,14.63047,romance
9789461709721,9789461709721,6.5223765,15.219004,romance
9789035143838,9789035143838,10.792059,6.621886,unknown
9789402537413,9789402537413,7.16296,13.820044,romance
9789402537543,9789402537543,6.009156,14.355803,romance
